index,content,industry
10,"Ford says shifter cables can snap off and render the gear selector broken or useless on 2013–2016 Ford Fusion sedans.The automaker's latest recall expands a July 2018 recall of about a half-million cars.The 2019 Ranger also has a similar transmission problem under a separate new recall.Ford is recalling 259,182 additional Fusion sedans in the United States for faulty shifter cables that can cause rollaways, the automaker said Wednesday.In July, Ford recalled more than a half-million Fusion and Escape models for these shifter cables, which can break off the transmission due to a bad bushing at the connection point. A supplier had added lubricant to these bushings, which ultimately led them to fail on 2013–2016 Fusion and 2013–2014 Escape models, according to a recall filing with the National Highway Traffic Safety Administration (NHTSA). Several dangerous things can happen, such as the gear selector indicating the wrong gear or a driver switching off the vehicle in park and exiting with the key when the transmission is actually in neutral.",automotiveEngineering
11,"Rustic Hearth Bakery has closed at NewBo City Market. It is relocating to 3531 Mount Vernon Rd. SE, Cedar Rapids, the former home of French restaurant L’Auberge. Owners don’t have an official opening date in the new location yet but posted on Facebook that they are aiming for May 9.Pinoy Cafe and Melting BiteIn other NewBo City Market news, market vendors Pinoy Cafe and Melting Bite are expanding. Melting Bite, which serves Indian street food, moved into a larger space in the market last month and now has a larger menu to match. Purveyor of Filipino cuisine, Pinoy Cafe, plans a similar move soon.get freshYet another NewBo City Market business also has news — owners of the juice vendor Get Fresh announced they will open a second location at 109 Iowa Ave., Iowa City. No opening date yet, but stay tuned.Groundswell CafeFrontier Co-op has partnered with local nonprofit Matthew 25’s Groundswell Cafe as the cafe’s new presenting sponsor.",cateringServices
12,"When it's hot and sticky outside, even the thought of applying my usual medium-coverage foundation can make me reconsider leaving the house. Luckily, this Summer, brands have formulated lightweight makeup that won't make me feel like I have a layer of wax melting off my skin and separating into each small crevice of my face. Chantecaille has debuted a cool-to-the-touch gel blush that feels refreshing and looks natural, for example, and Milk Makeup has released a waterproof version of the brand's cult-status mascara so it won't budge even when your AC is out and your landlord won't return your calls. Ahead, you'll see the best ""no-makeup makeup"" for days it's too hot to care what you look like.",cosmetics
13,"IDEMIATM, the global leader in Augmented IdentityTM, will be celebrating the ruby anniversary of the Annual Public Security Users Conference from April 30 to May 2. Victim's Rights Advocate and Host of CNN's The Hunt, John Walsh, will present the opening keynote address for the 40th anniversary of the conference. ""This year's Public Security Users Conference is a major milestone for IDEMIA as we celebrate 40 years of partnering with Law Enforcement agencies to help solve crimes by leveraging advanced technologies,"" said Donnie Scott, Senior Vice President, Public Security for North America at IDEMIA. ""This is the only User Conference of its kind that has been running for this long and, with his nearly 40 years of dedication to victim's rights and advanced knowledge of law enforcement's work in the public security space, John Walsh is the perfect keynote speaker.",publicSecurity
14,"The 2019 Cadillac CTS-VCNBC | Mack HoganCadillac, the luxury arm of auto giant General Motors, appeared to not anticipate the insatiable hunger consumers have for SUVs and crossovers. While Cadillac tried to out-German BMW and Mercedes with a lineup of sports sedans with impressive driving dynamics and great prices, the Germans padded their lineups with seven crossovers each. Cadillac, until 2018, offered only one.The 2019 Cadillac CTS-VCNBC | Mack HoganThe company is now retreating back to Detroit after a few years in New York. They've announced the XT4 and XT6 crossovers to compliment the XT5 and Escalade and are consolidating the CTS and ATS into the CT5 sedan. This, the fire-breathing, 200-mile-per-hour CTS-V, is a testament to how well Cadillac accomplished its mission of building amazing sports sedans. Unfortunately, the market wanted something else.The 2019 Cadillac CTS-VCNBC | Mack HoganThe good ""Parts sharing"" is almost a dirty word in the industry.",automotiveEngineering
15,"According to official EPA figures, the all-electric version of the Hyundai Kona has a range of 258 miles. Its 64 kWh battery powers a 150 kW electric motor, solely powering the front wheels. That combination amounts to an impressive 201 horsepower and 291 pound-feet of torque. The onboard 7.2 kW charger enables this electric crossover to recharge its lithium-ion battery pack in approximately 9-1/2 hours when connected to a Level 2 (L2) charger. If you don’t have that much idle time, connect it to a 45 kW DC fast charger (L3), and you get back up to 80 percent capacity in around 1 hour.The Kona fits into the subcompact crossover category — comparable in size to Subaru Crosstrek, Mazda CX-3, Honda HR-V and its cousin the Kia Niro EV. Passenger volume measures 94.1 cubic feet, which is nearly identical to the Chevy Bolt. ",automotiveEngineering
16,"A more than $600 million bond to pay for public safety seismic upgrades was unanimously approved Tuesday for the ballot by the Board of Supervisors. The proposed $628.5 million Earthquake Safety and Emergency Response general obligation bond is expected to come before voters in March 2020. A subsequent vote by the board is required to make it official, but that is expected given Tuesday’s 11-0 endorsement by the supervisors. The proposed 2020 ESER Bond provides general categories for where the funding would go, but exact details for specific projects would come if approved by voters, which would take a two-thirds vote. The bond does “not specify which fire stations, police stations, disaster response facilities, or Emergency Firefighting Water System projects would be renovated or the scope of work that would be completed for each station or project,” according to the budget analyst report. “Police and Fire Department staff would work with Public Works and [San Francisco Public Utilities Commission] staff to prioritize the needs of each specific facility, station, and project and to scope the individual projects.”",publicSecurity
17,"The 2019 Jeep Wrangler continues to stand alone as a truly one-of-a-kind vehicle. Its iconic shape and stellar off-road capability haven't wavered through updates and redesigns. Even the all-new, modernized JL Wrangler introduced last year stays true to the Wrangler ethos.Jeep doesn't cut corners or compromise when it comes to the Wrangler's capabilities, and it continues to be a top choice for off-road enthusiasts everywhere. Even as Jeep continues to make the hardcore Rubicon for folks who want the highest performance possible, the body-on-frame vehicle has gotten more accessible for daily driving duties. We still wouldn't recommend anybody make it their commuter car, but the Wrangler is considerably more refined and easy to live with in 2019 than ever before.",automotiveEngineering
18,"FRANKLIN—For the last 11 years, a building very much tied to the history of Franklin has sat vacant.No more.RFD Franklin, the Johnson County city's newest restaurant, is open for business at 55 West Madison Street, two blocks from the county courthouse. And if it looks like a former post office, that's because it was — from 1937 to 1981.The restaurant borrowed its name from Rural Free Delivery, the postal service's initiative in the late 1800's to bring direct mail delivery to people living in rural areas.When the Franklin post office moved to larger and more modern quarters, city government moved in.The building was Franklin City Hall from 1981 to 2008.Lesa and John Talley purchased it in 2017 and began transforming it into a restaurant which will have a grand opening on Memorial Day, but began serving customers this week. ""It's an outstanding building,"" said Lesa Talley.",cateringServices
19,"First Aid Beauty's Ultra Repair Cream has long been a favorite of dry skin-havers. (In fact, one tub of the good stuff is sold every minute.) While keeping its original anti-itch, anti-irritation, parched skin–relieving function, the brand has expanded into delicious pink grapefruit, honeysuckle, cucumber melon, rosemary mint, and mango variations. The subtle scent comes from mango essential oil, the perfect fragrance to have emanating from your pores all summer long.Amateur cosmetic chemists will love the latest from the labs over at Murad. The Replenishing Multi-Acid Peel works in two phases; first, a blend of glycolic, lactic, malic, salicylic, and tranexamic acid work together to chemically exfoliate dull skin; then antioxidants like basil and jojoba seed oil come in to re-nourish and moisturize the skin. Use in the evenings before your night cream and wake up the next morning with skin that's been brightened to scientific perfection.",cosmetics
20,"JONESBORO, Ark. (KAIT) -A new recreational activity is headed to the downtown Jonesboro area. According to Haag Brown Commercial, Jonesboro’s first axe throwing venue called “Civil Axe Throwing” will be located at 316 South Main Street. This will be a large, indoor entertainment area that allows guests to check their axe throwing skills. Participants will hurl a dulled hatchet at a wooden bull’s eye. It will include four lanes and one-hour sessions for groups with up to 8 or more. Civil Axe Throwing will partner with nearby restaurants and bars for catering services and providing guests with several options for food and beverage. Director of Marketing and Sales for Civil Axe Throwing Scott Brewster said they’re excited to come to Jonesboro. “We’re excited to bring Civil Axe Throwing to Jonesboro and share this new source of entertainment with the city,” Brewster said. “Jonesboro is a great city because it embraces new and unique ideas, so we knew that this had to be the next city in which we opened our 7th location.”     Civil Axe Throwing opened its first location in Huntsville, Ala. in 2017.",cateringServices
21,"Chinese EV startup NIO has indefinitely delayed its upcoming electric sedan just six weeks after unveiling a concept version of the car at the Shanghai Auto Show. The news comes as the startup released unaudited financial results for the first quarter of 2019, which show NIO lost $390 million as deliveries of its ES8 electric SUV dropped to 3,989 (down from 7,980 during the fourth quarter of 2018).NIO had not previously set a ship date for the sedan, known as the ET7, but the company’s founder and CEO William Li said it is postponed during an investor call on Tuesday.Li said NIO recently decided to build the sedan on an all-new technological platform, which will push back the timeline for the car. He also said NIO won’t be able to build cars on this new platform until it has its own manufacturing facility. The startup currently outsources production to state-owned automaker Anhui Jianghuai Automobile Group, or JAC, and it will continue to for the foreseeable future after abandoning plans for a factory outside Shanghai.",automotiveEngineering
22,"This year marks the centenary of Citroën, a company named after a guy named after a lemon that has proven to be one of the most consistently innovative and bold automakers for an entire century. The company was one of the pioneers of unibodies and front-wheel drive, developed novel suspension systems, had striking styling, and it continues that to this day. This new concept, called the 19_19 (named for 1919, the year Citroën was founded), is an interesting example of where they’re imagining the future to be headed while referencing a lot of the old ideas that made Citroën what it is today.I think the key element of the 19_19, and the one that is most archetypically Citroën, is the fact that they describe the car as having a “true magic carpet ride.” Citroëns have always sought to make their cars feel like they float over the chaos of the surface, employing hydropneumatic suspension systems starting with the Traction Avant and then into the iconic DS that absorb shocks remarkably well, so much so that Rolls-Royce licensed their system, unable to come up with anything better.The latest technology to achieve the magical carpet goal is described as (emphasis mine): “Taking comfort to a new level with a cabin constituting a true living room on wheels, 19_19 Concept pushes back the limits of the Citroën Advanced Comfort® programme.",automotiveEngineering
23,"Opel is no longer part of the General Motors empire, so the paths you see the automaker taking now will be harder to relate to the US market, if it's even possible in the first place. Nevertheless, a new 300-horsepower plug-in hybrid is always worth celebrating, even if it's forbidden fruit in the US.Opel on Monday unveiled the Grandland X Hybrid4 crossover. Opel's first plug-in hybrid is the start of a big electrification push, as the automaker wants to electrify its entire lineup by 2024. Battery-electric cars are on the way, but for now, consider this an amuse bouche.The Opel Grandland X Hybrid4 starts with a 1.6-liter turbocharged I4 that puts out 200 horsepower on its own. That setup is mated to a pair of electric motors, one on each axle, that combines with the gas engine to generate a net 300 hp.",automotiveEngineering
24,"Carl's Jr.Beginning Monday, Western Fries and the Triple Western Bacon Cheeseburger are available at participating Carl’s Jr. restaurants nationwide. Carl’s Jr. announced the launch of its new Western Fries, a spin on the restaurant’s best-selling Western Bacon Cheeseburger. This fresh take on the iconic classic includes crispy natural cut fries, coated in a brand-new Western seasoning that delivers all the taste of the Western Bacon Cheeseburger including BBQ sauce, charbroiled beef patties, cheese and even notes of the sesame seed bun. “With a Western Bacon Cheeseburger sold every 1.13 seconds, we knew this was a fan-favorite flavor that we wanted to deliver in a new and innovative way while also ensuring that it stood up to the iconic Carl’s Jr. offering,” says Owen Klein, vice president of culinary innovation at Carl’s Jr. “We are excited for our customers to taste the new outcome that will allow you to enjoy the essence of our bold Western Bacon Cheeseburger with every fry you pop into your mouth.” Carl’s Jr. is also introducing a Triple Western Bacon Cheeseburger for a limited time.",cateringServices
25,"While other car makers are moving away from sedans and into crossovers, Toyota has spent the last few years redoing their car lineup. There has been a fair share of Toyota vehicles hitting my driveway lately and the first to show up is the Avalon sedan.The Toyota Avalon and the Lexus ES350 are similar vehicles, with many parts shared between the two, but until this year, I would’ve typically said go with the Lexus for more of a luxury ride. For 2019, the new $42,000 top-of the-line Avalon Limited may just change my mind.Inside, the luxury has improved and it seems to blur the line between the Toyota and Lexus. The Avalon Limited comes equipped with leather, heated and ventilated seats that seem to be Lexus quality with a look and feel that’s a step up for the Avalon.Real wood trim and soft touch materials abound in the large cabin. Back seat riders also are treated to a comfortable place with plenty of head and legroom for adults. I used it for three children with plenty of space.",automotiveEngineering
26,"A Dane County committee supported legislation Tuesday that would authorize an investigation into the construction of the Public Safety Building in an attempt to determine why the structure cannot hold additional weight.Last year, the Dane County Board of Supervisors approved a $76 million jail renovation plan, which would have consolidated the county's three jail facilities into one by adding floors on top of the downtown Public Safety Building, 115 W. Doty St. However, the county learned in October 2018 that the building cannot hold extra weight, though it was built in the early 1990s with the expectation that it could.Because of this, Dane County is pursuing a $148 million plan for the jail that is nearly twice the cost of the original plan to expand the Public Safety Building. “This resolution says that we’d like some answers,” said Maureen McCarville, chair of Public Protection & Judiciary Committee.The Public Protection & Judiciary Committee voted unanimously in support of the resolution with expanded language to investigate the architectural firm, the general contractor, their insurers or any other responsible party. The original firm is no longer in business, according to the resolution.The Public Safety Building, which opened in 1994, was designed with the intention of adding more floors at a later date.",publicSecurity
27,"Recently, the Beauty by POPSUGAR Be Sweet Tinted Lip Balm SPF 15 ($20) won a Cosmetic Executive Women's (CEW) award for the best indie makeup category, and it's easy to see why. The balm is formulated with candelilla wax and blueberry oil, which gives it its super moisturizing and antioxidant protection, while the SPF shields lips from UVA and UVB rays/ The sheer wash of color it provides makes each shade (available in seven colors) flattering on all skin tones and is great for days you want a natural makeup look. Since the product has long been a favorite in the POPSUGAR office, we asked staffers to share what they love about the product, ahead.",cosmetics
28,"Germany's Opel on Monday unveiled its first plug-in hybrid in the form of the Grandland X Hybrid4. First previewed as a concept at the 2017 Frankfurt International Motor Show, the Grandland X Hybrid4 small SUV will start deliveries in markets where Opel (and Vauxhall) operates in early 2020. Pricing hasn't been announced but the standard Grandland X starts at 24,250 euros (approximately $27,250) in Opel's home market. The Grandland X Hybrid4's powertrain is borrowed from the parts bin of Opel's PSA Group parent and includes a 1.6-liter turbocharged inline-4 mated to an electric motor and 8-speed automatic transmission at the front axle, plus a second electric motor at the rear axle to form an all-wheel-drive system. The setup, good for 300 horsepower, made its debut in 2017 in the DS 7 Crossback, which rides on the same platform as the Opel Grandland X.",automotiveEngineering
29,"Several San Jose institutions no longer will be serving food and drinks at the city’s airport next year as part of a change in concessions, with others — including a mini San Pedro Square Market — set to take their place instead. While the chefs behind the incoming restaurants are thrilled at the opportunity to serve passengers at Mineta San Jose International Airport, establishments being forced out — San Jose Joe’s and The Brit, offshoots of Original Joe’s downtown and Britannia Arms, among them — say they weren’t given a fair chance to continue to operate in a community they have loyally served for years. But on Tuesday, the San Jose City Council unanimously approved a series of new agreements that will bring Olla Cocina, Jim Stump’s Taproom and Kitchen, Konjoe Burger, Farmers Union and other eateries to the airport instead, meaning San Jose Joe’s and The Brit, along with nearly a dozen other restaurants, will shutter in June 2020 when their contract to operate at the airport expires.",cateringServices
30,"My driveway is steep. Over the past couple of months, I started noticing the CTR's traction control light blinking when I drove up it. I also noticed it when joining traffic on a 50-mph boulevard near my house. I've put on most of the Civic's miles commuting, but several trips to the hills surrounding L.A. as well as Randy Pobst ""dusting off"" the racing line at Willow Springs (three laps without a data logger attached—doh!) means the stock Continental SportContact 6 tires were, well, tired. Replacing with original equipment would cost $1,217 in total, but a set of Michelin Pilot Sport 4S shoes ($1,288) would afford us an opportunity to evaluate something different. Our friends at TireRack shipped us a set, and we couldn't be happier. The Michelins produce noticeably less road noise and offer a more supple ride. Imagine the difference between thumping the ground with a clenched fist versus your open palm.",automotiveEngineering
31,"The Lexus RX created the luxury crossover segment two decades ago, and even won our inaugural SUV of the Year competition with high levels of comfort, a car-like driving experience, and impeccable build quality. Fast forward to today, the fourth-generation Lexus RX receives significant updates for the 2020 model year on the safety, multimedia, and chassis fronts.You'll need a magnifying glass to see the 2020 Lexus RX's exterior updates. Thinner headlight clusters, a reshaped spindle grille with square-like inserts, and updated taillights comprise the most obvious changes from the outside. The interior looks similar to the pre-refresh model except for the addition of paddle shifters, six standard USB ports and standard NuLuxe leatherette upholstery on all variants.",automotiveEngineering
32,"There have been many concept cars in automotive history that all car fan can only wish had been made. Concept cars are often among the most important debuts at auto shows because their shape or technology can give the public a glimpse at what a company plans to put on the road in the near future. Unfortunately, the gorgeous concept cars simply fade away, and never make it onto the roads. These classic concepts have been updated by car care products specialist, Chipex into modern supercars. 1976 Chevrolet Aerovette
We’ll start with the 1977 Chevrolet Aerovette. Built from the mid-engine ‘Vette prototypes of famous Corvette engineer Zora Arkus-Duntov, The Aerovette had the same mid-engine configuration but had a 6.6-L V8 instead of a smaller Wankel rotary engine. The mid-engined Chevrolet Corvette is big news today, but the idea of putting the powerplant behind the ‘Vette’s driver goes back decades.",automotiveEngineering
33,"As the weather heats up, the city of Yelm has opened up the Public Safety Building during regular hours of operation for the public to use as a cool down location.The public safety building is located at 206 McKenzie Ave. and will be open 8 a.m. to 5 p.m., Monday through Friday. This location will offer visitors an air-conditioned refuge from the blistering heat.“Many people in our area don’t have air conditioned homes, but Yelm has two places where people, especially our vulnerable citizens, can cool down and hydrate,” wrote city of Yelm Communications Specialist Andrew Kollar in a text message. Other nearby locations include:• Yelm Timberland Library at 210 Prairie Park St. Open 10 a.m. - 8 p.m. Tuesday through Thursday, 10 a.m. - 6 p.m. on Friday and 10 a.m. - 5 p.m. on Saturday. The library is closed on Sundays and Mondays.• Tenino Fire District 12 at 187 S Hodgden St. SE. is open 24 hours daily. • Tenino Timberland Library at 172 Central Ave. W. Open 10 a.m. - 6 p.m. Tuesday and Wednesday, 10 a.m. - 5 p.m. on Thursday and Friday, and 10 a.m. - 4 p.m. on Saturday.",publicSecurity
34,"Porsche has unveiled the Cayenne S coupe, which slots between the base model and the Turbo in the Cayenne coupe lineup.The S coupe has a twin-turbocharged 2.9-liter V-6 making 434 horsepower, and its 4.7-second claimed zero-to-60-mph time splits the difference between the other two models.We expect two more Cayenne coupe variants to be revealed later this year.When Porsche unveiled the Cayenne coupe back in March, it started with the top and bottom ends of the lineup, showing off the base Cayenne and high-performance Turbo models. We knew that those two models being the only coupes on offer wouldn't last long, and we were right. Porsche has now announced the Cayenne S coupe, which perfectly slots in between the two already revealed models. Porsche Like the S version of the standard Cayenne, the S coupe uses a twin-turbo 2.9-liter V-6 making 434 horsepower and 405 lb-ft of torque.",automotiveEngineering
35,"Chicago Mayor-elect Lori Lightfoot talks to reporters April 29, 2019, about plans to combat summertime violence in the city after meeting with key public safety agencies at Chicago police headquarters. Chicago Mayor-elect Lori Lightfoot talks to reporters April 29, 2019, about plans to combat summertime violence in the city after meeting with key public safety agencies at Chicago police headquarters. Mayor-elect Lori Lightfoot sat down Monday with the heads of key public safety agencies to strategize about dealing with Chicago violence “this summer and beyond,” her spokeswoman said.The city’s next mayor met with police Superintendent Eddie Johnson, Cook County State’s Attorney Kim Foxx, Cook County Sheriff Tom Dart and U.S. Attorney John Lausch, according to a statement from Lightfoot’s transition team.“I wanted to make sure that our focus was comprehensive and that those gathered understood that we would be using all available city resources beyond the police department to keep our communities safe,” Lightfoot said in a statement.",publicSecurity
36,"Although it’s technically a Memorial Day sale — the promo code is MEM40 — a great deal on the sparkling collagen beverages by SkinT? will be available beyond the holiday. From Saturday, May 24, through Wednesday, May 29, you can get 40 percent off the purchase of two or more four packs of Green Tea Grapefruit and White Tea Ginger.You’ve got through Tuesday, May 28, to enjoy 25 percent off literally anything and everything on Sigma’s website, from makeup brushes to brow gel. A currently favorite around here? The new Eyeshadow Base Primers, normally $15 each, which are just over $11 during this sale.Looking to update your gym style for summer? Now through Wednesday, May 29, use code POOLSIDE to get an additional 20 percent off of Alala’s super-chic activewear, from high-waisted leggings in bold colors and patterns to tank tops you’ll want to keep wearing after your workout.",cosmetics
37,"One of the main qualities that sets Wawa apart from other large convenience store chains is that, unlike other big names in the industry (sorry, 7-Eleven), Wawa has always had surprisingly good food — from hoagies to soups to drinks. So if some other convenience store brands said they had started offering catering services, you might tell them to stick to selling gas, but for Wawa, the choice actually makes plenty of sense. Beginning this week, Wawa has announced that customers in Center City Philadelphia and ""its immediate surrounding neighborhoods"" can get custom menus of Wawa food and drinks for ""events of all sizes"" — whether it’s ""the boardroom, the backyard, or wherever your next major event may take place."" Once your order is placed, the chain will not only deliver to your door but also get everything set up for you thanks to their ""catering associates."" The brand suggests that ""breakfast, lunch, and snacking options"" are all available.",cateringServices
38,"Here is the latest roundup of restaurant news from around the Las Vegas valley:1. The $100 Prime Margarita is available for 2 more weeks at  Fleming’s Prime Steakhouse & Wine Bar  . The upscale steakhouse partnered with Tequila Ocho, an ultra-premium single estate & single vintage tequila, and Baccarat, the world-renowned fine crystal manufacturer, to offer a $100 Prime Margarita through the end of May. The $100 Margarita is handcrafted with ultimate premium liquors, including Tequila Ocho Extra Anejo La Latilla (valued at well over $100) and Grand Marnier Cuvee du Centenaire and is garnished with a lime wheel garnish and pineapple leaves. Served in Baccarat's uniquely designed Diamant Tumbler (valued at well over $100), guests will take home the glass in Baccarat's iconic red box. 2. Crazy Horse 3   is offering a selection of $1 tacos every Tuesday from noon to midnight beginning May 21. Choice of chicken, pork or carne asada.",cateringServices
